"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"HMGA1",1.80328239779655,10.6477093478261,24.1418035988187,7.83361946747857e-84,1.26554784406644e-81,180.480919692151
"UGT8",4.61768049781952,4.46120434782609,24.0834764220541,1.46046736906762e-83,2.3367477905082e-81,179.859847677921
"TMBIM6",-1.05469093876719,14.4394843478261,-24.0756493303663,1.58781859571347e-83,2.51631442215925e-81,179.776490624222
"UBXN10",-3.74466717247713,7.57720543478261,-24.0673995423621,1.73409247741525e-83,2.72219800228205e-81,179.688628473397
"ADAMTS15",-4.40083045063888,7.08658608695652,-23.9964826574439,3.69933716502045e-83,5.75298789027479e-81,178.933202037396
"DYNLRB2",-3.22856049832957,3.98865847826087,-23.9699813669526,4.91040799955101e-83,7.56566565856749e-81,178.650836853982
"TMCC2",2.69258994924895,5.57407717391304,23.9427880082362,6.56657897607275e-83,1.0024575611179e-80,178.361060975109
"CACNA2D2",-3.62308009742166,7.48007586956522,-23.9416148747926,6.6494356835028e-83,1.00587827066806e-80,178.348559081052
"GMPS",1.14706658080641,10.5634632608696,23.9388335833778,6.85007779221381e-83,1.02689454470665e-80,178.318919031499
"ZMYND10",-3.92810712045092,6.9270502173913,-23.9280623968394,7.68593623077273e-83,1.13180512283237e-80,178.204127520598
"ATL2",1.29052946112061,10.2339697826087,23.875175163624,1.3528279855516e-82,1.97465418241918e-80,177.640410176521
"ANP32E",1.85311999693965,10.485957826087,23.8347520742704,2.08429795392565e-82,3.01588851768024e-80,177.209453865112
"KDM4B",-1.89076925607611,11.1499436956522,-23.7772401683188,3.85561152408022e-82,5.53080825523232e-80,176.596175490968
"FAM123B",1.51623457958227,7.81234413043478,23.748513957605,5.24260855977265e-82,7.4561543961211e-80,176.289794615755
"C1QL4",3.52617548392035,2.10723630434783,23.6988758323968,8.91645444367838e-82,1.25737120290515e-79,175.760285710116
"HAPLN3",2.97926766468595,8.19358086956522,23.6642585624567,1.29143167579836e-81,1.805833872713e-79,175.39094276118
"ROPN1B",5.18286245951394,3.71449065217391,23.597761987524,2.6313085803884e-81,3.64874789813859e-79,174.681316894834
"E2F3",1.47987001096632,9.17735,23.5758337271241,3.32752357547249e-81,4.57603242114564e-79,174.447263716148
"BBS1",-1.28852232791819,9.75276304347826,-23.5548449160632,4.16592460713425e-81,5.68204798874704e-79,174.223218033486
"EN1",4.33106435949099,5.91061260869565,23.5254370093477,5.70770365943891e-81,7.72164137341979e-79,173.909270199492
"POU5F1",2.44270383310807,1.84183043478261,23.5059829559778,7.02965216011687e-81,9.43333967293102e-79,173.701565483571
"ABLIM3",-3.1407094718319,8.82030152173913,-23.5011812889655,7.40057400392524e-81,9.85164411402528e-79,173.650297123797
"SYBU",-3.02111094080744,8.91951891304348,-23.4773023688972,9.5571349144933e-81,1.26214861092991e-78,173.395322542686
"CDK2AP1",1.52651798474919,11.4489045652174,23.4532255313677,1.2368617914645e-80,1.62058111889522e-78,173.138210245538
"SYTL4",-2.23579171150954,8.96079913043478,-23.4052613668892,2.06755916844124e-80,2.68782691897362e-78,172.625937371138
"CIRBP",-1.30757270918875,12.0620858695652,-23.3862850453985,2.53367053435122e-80,3.26823858074452e-78,172.423237944105
"CENPA",2.7637205580067,6.39992260869565,23.3791385226061,2.73528651111721e-80,3.50116673423003e-78,172.346897109843
"CYP4B1",-5.06880798245393,7.10122304347826,-23.3741664915323,2.88494910302513e-80,3.66454603620902e-78,172.29378348519
"ANKLE1",2.52143583433222,3.30917717391304,23.3684919837198,3.06579216881076e-80,3.86475618856144e-78,172.233164445005
"CAPN8",-5.49736558108697,6.50591869565217,-23.3643042729134,3.20648550969879e-80,4.01172322416451e-78,172.188427571549
"SERPINA11",-5.82245189870193,6.01157782608696,-23.3569010496545,3.47119706414709e-80,4.31050142891101e-78,172.109337990361
"FAM72B",2.30985447706002,6.51131673913043,23.3395250587141,4.18157667484754e-80,5.15418043477505e-78,171.923699428118
"LRP8",2.46464512254216,6.844295,23.3300396784199,4.62895949356706e-80,5.66366808624675e-78,171.822356107032
"HPDL",3.39133280967077,4.15486608695652,23.3263806738254,4.81406743641372e-80,5.81111781659307e-78,171.783261761799
"SRPK1",1.27678908724593,10.4996710869565,23.3262789810652,4.81931645847261e-80,5.81111781659307e-78,171.782175225969
"SYTL5",-5.27933298309151,6.1431852173913,-23.3250871398939,4.88126352714524e-80,5.84346943105732e-78,171.769440973928
"GP2",-6.77334982020357,6.05348826086956,-23.3203875738423,5.13338927168544e-80,6.10139982006041e-78,171.719227814161
"CYP2B7P1",-7.38682183570941,7.55861086956522,-23.282146089,7.73384495056883e-80,9.09147742690201e-78,171.310599151639
"FAM136A",1.06474372752545,9.65598456521739,23.2818508997902,7.75835213113032e-80,9.09147742690201e-78,171.307444690921
"APH1B",-1.75575946035552,8.91861173913044,-23.2586136004709,9.95262083324987e-80,1.15812315150544e-77,171.059114921741
"DNAJC12",-4.29337774094007,8.43576565217391,-23.2294224646138,1.36092098804317e-79,1.57261980840544e-77,170.7471290148
"CHEK1",1.74409835505344,7.56913434782609,23.1928638309987,2.01394030501778e-79,2.31117011555144e-77,170.356356106621
"TBX19",1.91574609930888,5.90811065217391,23.1921607082918,2.02917957811388e-79,2.31270877943939e-77,170.348839982672
"RUNDC1",-1.40183378388718,9.94839239130435,-23.1644278765279,2.73184990215786e-79,3.09237975319094e-77,170.052371582506
"FAM174A",-1.54831631940017,8.35614869565217,-23.1528087148629,3.09431460531772e-79,3.47901317787073e-77,169.928152481446
"C14orf45",-1.87375140394278,8.10968065217391,-23.149972819977,3.18985448885325e-79,3.56236098620927e-77,169.897833511755
"KIAA0020",1.27013311315703,9.45641413043478,23.0481079106542,9.51100234750024e-79,1.05508719374936e-76,168.808589822014
"CYP4Z2P",-5.69721538343835,5.8279147826087,-23.0116392491294,1.40645095985897e-78,1.54989032927506e-76,168.418541499521
"YEATS2",1.20933479125757,9.938025,22.9971850682516,1.64236033605493e-78,1.79795236789172e-76,168.26393518762
"MCM7",1.47167749611079,10.947967173913,22.9796249131598,1.98283945991631e-78,2.15649990934689e-76,168.07609699579
"ERGIC1",-1.32601291474332,12.5711147826087,-22.93988157831,3.03726436979697e-78,3.28182331905335e-76,167.650931136721
"PPP1R14C",4.61578822779325,5.36447956521739,22.9333273208938,3.25856312650131e-78,3.49822518870851e-76,167.580810101442
"GREB1",-4.17451630154806,9.96443021739131,-22.9068249911346,4.33047986431038e-78,4.61917852193107e-76,167.297259531655
"C16orf61",1.29734950906634,8.09423217391304,22.8528606471956,7.72784461951878e-78,8.19053085788488e-76,166.7198217983
"KCNK15",-4.06820798245393,6.17962260869565,-22.8215264740228,1.08173763189399e-77,1.13208265375573e-75,166.38449353463
"ATP6V1C2",2.54962217745022,6.31346,22.8084208605046,1.24513758072911e-77,1.29494308395827e-75,166.244232619925
"DSCC1",1.83152092525058,7.31174130434783,22.7881728775215,1.54743810167585e-77,1.59933975229106e-75,166.027521422101
"SPDEF",-4.67579556502005,10.3908310869565,-22.7540915277245,2.23106521313901e-77,2.29166204608846e-75,165.662726387327
"NUP93",1.16608996200046,9.72802717391304,22.7273974513031,2.9715261018374e-77,3.03350885488186e-75,165.376978655386
"ZNF703",-2.99769941853054,8.80598326086957,-22.7062510641728,3.72894323218771e-77,3.78351313314655e-75,165.150601966142
"TRIM3",-1.69931768381323,8.49548456521739,-22.6985270610567,4.05139324827602e-77,4.08576870614018e-75,165.067911692475
"REEP5",-1.24619058682513,12.3196319565217,-22.6892210454842,4.47714592020307e-77,4.48793422362524e-75,164.96828278012
"RND1",-2.8843326643034,7.63357326086957,-22.6752908924364,5.1995272303621e-77,5.18084629420511e-75,164.819144016077
